OBJECTID,Well registration number,Well classification,Licence number,Licence operator,"Spud date, day/month/year","Water depth, m",Rig datum type,"Datum elevation, m","TD depth MD, m","TD depth TVDSS, m","TD date, day/month/year",Mechanical status,Target 1 age,Target 1 name,Reservoir 1 age,Reservoir 1 name,"Reservoir 1 gross thickness, m TVD",Reservoir 1 rock type,Reservoir 1 fluid type,"Reservoir 1 total flow period, hrs","Reservoir 1 maximum flow, bbls/day","Reservoir 1 maximum flow rate, mmcf/day","Reservoir 1 choke size at maximum flow rate, inch","Reservoir 1 total oil production, tonnes","Reservoir 1 total gas production, m3","Reservoir 1 total condensate production, m3","Reservoir 1 maximum wellhead flowing pressure, bar","Reservoir 1 maximum wellhead temperature, oC","Reservoir 1 average water cute, %",Target 2 age,Target 2 name,Reservoir 2 age,Reservoir 2 name,"Reservoir 2 gross thickness, m",Reservoir 2 rock type,Reservoir 2 fluid type,Target 3 age,Target 3 name,Reservoir 3 age,Reservoir 3 name,"Reservoir 3 gross thickness, m",Reservoir 3 rock type,Reservoir 3 fluid type,Target 4 age,Target 4 name,Reservoir 4 age,Reservoir 4 name,"Reservoir 4 gross thickness, m",Reservoir 4 rock type,Reservoir 4 fluid type,Open data,x,y
503,43/12a- 3,Exploration,P2128,SPIRIT ENERGY RESOURCES LIMITED,7/29/2019 12:00:00 AM,31.1,Mean Sea Level,56.7,3871,3739.9,10/15/2019 12:00:00 AM,AB3,Westphalian ,Westphalian A ,Westphalian ,Westphalian A,21.6,Sandstone,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.31058000000007,54.546217778
504,16/02a- 6,Exploration,P2319,EQUINOR UK LIMITED,6/18/2021 12:00:00 AM,116,Rotary Table,31,2456,2425,7/1/2021 12:00:00 AM,AB3,Upper Jurassic,Piper Formation,,,,,,,,,,,,,,,,Lower Permian,Rotliegendes Group,,,,,,,,,,,,,,,,,,,,Y,1.35710416700005,58.9140072220001
505,42/04- 1Z,Exploration,P2133,ONE-DYAS NORTH SEA LIMITED,7/8/2019 12:00:00 AM,71,Rotary Table,45,2278,2265,7/13/2019 12:00:00 AM,AB3,Permian,Zechstein Fm,Permian,Zechstein Fm,3.7,Limestone,Oil,81,3500,,32/64,62,15000,0,84,44.1,79,,,,,,,,,,,,,,,,,,,,,,Y,0.699822828000038,54.938151292
506,42/04- 1,Exploration,P2133,ONE-DYAS NORTH SEA LIMITED,5/16/2019 12:00:00 AM,71,Rotary Table,45,3300,3255.3,7/2/2019 12:00:00 AM,AB3,Carboniferous,Yoredale Formation,Carboniferous,Yoredale,286.3,Sandstone and Shale,,,,,,,,,,,,Carboniferous,Fell Sandstone,Carboniferous,Fell Sandstone,407,Sandstone and Shale,,Permian,Zechstein Fm,Permian,Zechstein Fm,44.1,Limestone,Oil,,,,,,,,Y,0.699822828000038,54.938151292
507,30/13e- 12Z,Appraisal,P2456,CHRYSAOR PETROLEUM COMPANY U.K. LIMITED,9/1/2021 12:00:00 AM,72.8,Rotary Table,43.9,5170.6,2991.3,9/9/2021 12:00:00 AM,AB3,Palaeocene,L2 Sandstone Unit,Palaeocene,L2 Sandstone Unit,7.4,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2.47643527800005,56.583400833
508,22/01b- 12Y,Appraisal,P2373,ITHACA OIL AND GAS LIMITED,9/13/2021 12:00:00 AM,131.4,Rotary Table,23.2,3291.8,2216,9/25/2021 12:00:00 AM,AB3,Eocene,Caran Sandstone Member,Eocene,Caran Sandstone Member,28.1,Sandstone,"Oil, Gas & Water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.07335466700005,57.942349972
509,22/01b- 12Z,Appraisal,P2373,ITHACA OIL AND GAS LIMITED,8/31/2021 12:00:00 AM,131.4,Rotary Table,23.2,2263.7,2232.5,9/7/2021 12:00:00 AM,AB3,Eocene,Caran Sandstone Member,Eocene,Caran Sandstone Member,31,Sandstone,"Oil, Gas & Water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.07335466700005,57.942349972
510,22/01b- 12,Exploration,P2373,ITHACA OIL AND GAS LIMITED,8/5/2021 12:00:00 AM,131.4,Rotary Table,23.2,2578.6,2362.7,8/19/2021 12:00:00 AM,AB3,Eocene,Caran Sandstone Member,Eocene,Caran Sandstone Member,19.6,Sandstone,Oil & Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.07335466700005,57.942349972
511,22/26d- 3,Appraisal,P2215,CNOOC PETROLEUM EUROPE LIMITED,12/3/2020 12:00:00 AM,82,Rotary Table,48.5,4904.8,4791.5,4/2/2021 12:00:00 AM,AB3,Upper Jurassic,Freshney Sandstone Member,Upper Jurassic,Freshney Sandstone Member,186.5,Sandstone,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.14686111100002,57.1340555560001
512,30/13e- 12,Appraisal,P2456,	CHRYSAOR PETROLEUM COMPANY U.K. LIMITED,7/20/2021 12:00:00 AM,72.8,Rotary Table,49.1,3377.2,3029.7,8/19/2021 12:00:00 AM,AB1,Palaeocene,L2 Sandstone Unit,Palaeocene,L2 Sandstone Unit,4.9,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2.47643527800005,56.583400833
513,10/01b- 6,Appraisal,P2343,EQUINOR UK LIMITED ,11/1/2019 12:00:00 AM,106,Rotary Table,38.6,2069,2018,11/23/2019 12:00:00 AM,AB3,Eocene,Frigg Formation,Eocene,Frigg Formation,222.6,Sandstone,Oil/Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2.05238611100003,59.8765388890001
514,206/04a- 5Z,Appraisal,P1453,TOTAL E&P UK LIMITED ,8/28/2019 12:00:00 AM,296.8,Rotary Table,26.2,4836,4323,11/8/2019 12:00:00 AM,AB2,Lower Cretaceous,Royal Sovereign,Lower Cretaceous,Royal Sovereign,167.4,Sandstone,Gas/Condensate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,-2.23155299999996,60.9363440000001
515,206/04a- 5,Appraisal,P1453,TOTAL E&P UK LIMITED ,7/16/2019 12:00:00 AM,296.8,Rotary Table,26.2,4836,4323,8/25/2019 12:00:00 AM,AB1,Lower Cretaceous,Royal Sovereign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,-2.23155299999996,60.9363440000001
516,9/19b- 29Z,Exploration,P1986,APACHE BERYL I LIMITED,11/16/2020 12:00:00 AM,119.2,Rotary Table,21.6,4550.4,1864.2,12/9/2020 12:00:00 AM,AB3,Eocene,Frigg Formation,Eocene,Frigg Formation,146.3,Sandstone,"Oil, Gas & Water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.74498916700003,59.3669650000001
517,9/19b- 29A,Exploration,P1986,APACHE BERYL I LIMITED,9/28/2020 12:00:00 AM,119.2,Rotary Table,21.6,5519,1734.6,9/28/2020 12:00:00 AM,AB1,Eocene,Frigg Formation,Eocene,Frigg Formation,98.7,Sandstone,"Oil, Gas & Water",,,,,,,,,,,Eocene,Frigg Formation,Eocene,Frigg Formation,20.7,Sandstone,Water,,,,,,,,,,,,,,,Y,1.74498916700003,59.3669650000001
518,9/19b- 28A,Exploration,P1986,APACHE BERYL I LIMITED,8/7/2020 12:00:00 AM,119.2,Rotary Table,21.6,2254.9,2093.1,8/23/2020 12:00:00 AM,AB2,Eocene,Frigg Formation,Eocene,Figg Formation,86.9,Sandstone,Oil & Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.74294500000002,59.3669725
519,9/18a- 43Z,Exploration,P103,APACHE BERYL I LIMITED,7/4/2020 12:00:00 AM,113.4,Rotary Table,21.6,5143.5,4085.5,7/14/2020 12:00:00 AM,AB3,Middle Jurassic,Beryl Formation,Middle Jurassic,Beryl ,61,Sandstone,"Oil, Gas & Water",,,,,,,,,,,Middle Jurassic,Callovian ,Middle Jurassic,Callovian ,8.8,Sandstone,Oil & Gas,,,,,,,,,,,,,,,Y,1.55790388900004,59.489622222
520,9/18e- 42Z,Exploration,P2335,APACHE BERYL I LIMITED,1/26/2020 12:00:00 AM,115.5,Rotary Table,21.6,2140.6,1981.8,2/1/2020 12:00:00 AM,AB3,Eocene,Frigg Member,Eocene,Frigg Member,57.6,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.58509194400006,59.3824033330001
521,9/18e- 42A,Exploration,P2335,APACHE BERYL I LIMITED,12/23/2019 12:00:00 AM,115.5,Rotary Table,21.6,2072.9,1981.2,1/16/2020 12:00:00 AM,AB3,Eocene,Frigg Member,Eocene,Frigg Member,25.9,Sandstone,Oil/Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.58509194400006,59.3824033330001
522,22/10b- 9A,Exploration,P2378,EQUINOR EXPLORATION UK LIMITED,9/25/2019 12:00:00 AM,89,Rotary Table,38.6,3390,3351.4,10/19/2019 12:00:00 AM,AB3,Upper Jurassic ,Fulmar Formation ,Upper Jurassic ,Fulmar Formation ,40,Siltstone/Silty Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.99233055600007,57.8095611110001
523,205/26b- 13Z,Exploration,P1368,HURRICANE ENERGY PLC,5/21/2019 12:00:00 AM,150.57,Rotary Table,23.5,3046.78,1964.74,6/11/2019 12:00:00 AM,AB3,Lewisian,Basement,Lewisian,Basement,15.38,Tonalite,,56,490,,40/64,,,,3.72,11.7,100,,,,,,,,,,,,,,,,,,,,,,Y,-3.95673749999997,60.148501944
524,98/11a- 6Z,Appraisal,P1918,CORALLIAN ENERGY LIMITED,2/25/2019 12:00:00 AM,19.87,Rotary Table,39,1910,1799.4,3/7/2019 12:00:00 AM,AB3,Triassic,Sherwood Sandstone,Triassic,Sherwood Sandstone,27,Sandstone,,,,,,,,,,,,,,Jurassic,Cornbrash,19,Sandstone and Limestone,,,,,,,,,,,,,,,,Y,-1.83056638899996,50.6546502780001
525,9/22a- 4A,Exploration,P2314,EQUINOR UK LIMITED,1/25/2019 12:00:00 AM,101.1,Kelly Bushing,38.6,2692,2640.5,2/5/2019 12:00:00 AM,AB3,Upper Triassic,"Cormorant Fm, Lewis Members",Lower Triassic,"Cormorant Fm, Lewis Members",169,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.36250000000007,59.328333333
526,9/14a- 17Z,Appraisal,P1763,APACHE BERYL LIMITED,10/31/2018 12:00:00 AM,123.2,Mean Sea Level,23.5,1932,1802.9,11/4/2018 12:00:00 AM,AB3,Eocene,Frigg Fm,Eocene,Frigg Fm,19.2,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.74471111100007,59.624536667
527,13/21a- 8Z,Appraisal,P186,CHEVRON NORTH SEA LIMITED,10/9/2018 12:00:00 AM,102.2604,Mean Sea Level,26.3652,1010.412,940.9176,10/11/2018 12:00:00 AM,AB3,Lower Cretaceous,Captain Sandstone,Lower Cretaceous,Captain Sandstone,0.9144,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,-1.84815277799993,58.2940825000001
528,22/18c- 8Y,Exploration,P2184,NAUTICAL PETROLEUM LIMITED,9/13/2018 12:00:00 AM,93.7,Rotary Table,46.3,3630,3579,10/3/2018 12:00:00 AM,AB3,Triassic,Skagerrak Fm,Triassic,Skagerrak Fm,118.5,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.59989615300003,57.4057431310001
529,9/14a- 17B,Exploration,P1763,APACHE BERYL LIMITED,9/23/2018 12:00:00 AM,123.2,Mean Sea Level,23.5,2254,1833,10/19/2018 12:00:00 AM,AB3,Eocene,Frigg Fm,Eocene,Frigg Fm,34,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.74471111100007,59.624536667
530,30/07a-S12Z,Appraisal,P32,CONOCOPHILLIPS (U.K.) LIMITED,9/22/2018 12:00:00 AM,83.82,Rotary Table,60.6552,5609.5392,4745.736,11/4/2018 12:00:00 AM,AB2,Triassic,Skagerrak Fm,Triassic,Skagerrak,347.1672,Sandstone,Condensate,,,,,,,,,,,Jurassic,Heather/Puffin Sst,Jurassic-Triassic,Puffin-josephine Sandstones,42.98,Sandstone,Condensate,,,,,,,,,,,,,,,Y,2.20783027800007,56.7250472220001
531,21/05c-F1Y,Appraisal,P2013,ZENNOR PATHWAY LIMITED ,10/4/2018 12:00:00 AM,139.9,Rotary Table,23.5,4453.1,3603,10/10/2018 12:00:00 AM,Completed (Shut In),Lower Cretaceous,Britannia,Lower Cretaceous,Britannia,207,Sandstone,Gas/Condensate,48,,50,64/64,,73,,238.3,38.9,,,,,,,,,,,,,,,,,,,,,,,Y,0.894045278000021,57.9696502780001
532,22/18c- 8Z,Exploration,P2184,NAUTICAL PETROLEUM LIMITED,9/5/2018 12:00:00 AM,93.7,Rotary Table,46.3,2731,2680.5,9/12/2018 12:00:00 AM,AB3,Triassic,Skagerrak Fm,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.59989615300003,57.4057431310001
533,21/05c-F1Z,Appraisal,P2013,ZENNOR PATHWAY LIMITED,8/22/2018 12:00:00 AM,139.9,Rotary Table,23.5,4534.2,3571,9/5/2019 12:00:00 AM,AB1,Lower Cretaceous,Britannia ,Lower Cretaceous,Britannia ,45.4,Sandstone,Gas/Condensate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.894045278000021,57.9696502780001
534,204/10a- 5Y,Appraisal,P1028,SICCAR POINT ENERGY E&P LIMITED,6/13/2018 12:00:00 AM,1082,Rotary Table,31,3166,2299,6/15/2018 12:00:00 AM,AB1,Palaeocene ,Hildasay Formation,Palaeocene ,Hildasay Formation,13.7,Sandstone,Oil,262,4993,,96/64,6755,396042,0,38.33,16,1.3,,,,,,,,,,,,,,,,,,,,,,Y,-4.15397138899993,60.8186425000001
535,204/10a- 5Z,Appraisal,P1028,SICCAR POINT ENERGY E&P LIMITED,5/29/2018 12:00:00 AM,1082,Rotary Table,31,2995,2303.57,6/10/2018 12:00:00 AM,AB1,Palaeocene ,Hildasay Formation,Palaeocene ,Hildasay Formation,13.7,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,-4.15397138899993,60.8186425000001
536,204/20-L11Z,Appraisal,P556,BP EXPLORATION OPERATING COMPANY LIMITED ,1/3/2019 12:00:00 AM,468,Rotary Table,32,4336,2304,2/12/2019 12:00:00 AM,AB1,Palaeocene,T35 Reservoir,Palaeocene,T35 Reservoir,21.6,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,-4.05218666699994,60.4116825
537,22/02a- 19,Appraisal,P354,SPIRIT ENERGY RESOURCES LIMITED,1/23/2020 12:00:00 AM,119.8,Rotary Table,32.3,2351.5,2099.2,1/28/2020 12:00:00 AM,AB1,Eocene,Nauchlan Sandstone,Eocene,Nauchlan Sandstone,22.6,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.21539361100002,57.950583056
538,20/06a-B41,Appraisal,P986,CNOOC PETROLEUM EUROPE LIMITED,6/12/2019 12:00:00 AM,96.80448,Rotary Table,61.4172,3200.4,2702.95,6/25/2019 12:00:00 AM,AB1,Upper Jurassic,Buzzard Sandstone,Upper Jurassic,Buzzard B4,58.83,Sandstone ,Oil,,,,,,,,,,,,,Upper Jurassic,Buzzard B2,53.04,Sandstone,Oil,,,,,,,,,,,,,,,Y,-0.972853055999963,57.8150591670001
539,206/04a- 4,Exploration,P1453,TOTAL E&P UK LIMITED,5/27/2018 12:00:00 AM,320.5,Rotary Table,24,4312,4017,8/10/2018 12:00:00 AM,Plugged,Lower Cretaceous,Royal Sovereign Formation,Lower Cretaceous,Royal Sovereign,71,Sandstone,Gas,73,,41.2,44/64,,1635424,,354,39.36,,,,,,,,,,,,,,,,,,,,,,,Y,-2.23227994399997,60.934404639
540,3/17a- 3,Exploration,P2312,NAUTICAL PETROLEUM LIMITED,9/27/2019 12:00:00 AM,135,Rotary Table,21.5,1926.2,1831,10/15/2019 12:00:00 AM,AB3,Palaeocene,Upper Heimdal Sandstone,Paleocene,Heimdal Sandstone,75.5,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.28072060300002,60.3610149420001
541,13/23c- 11,Appraisal,P2358,I3 ENERGY NORTH SEA LIMITED,11/7/2019 12:00:00 AM,114,Mean Sea Level,31.1,1813.6,1674,11/25/2019 12:00:00 AM,AB3,Lower Cretaceous ,Captain Sandstone,Lower Cretaceous ,Captain Sandstone,46.6,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,-1.43413249999998,58.192550833
542,204/10a- 5,Appraisal,P1028,SICCAR POINT ENERGY E&P LIMITED,4/24/2018 12:00:00 AM,1082,Rotary Table,31,2442,2373,5/22/2018 12:00:00 AM,AB1,Palaeocene ,Hildasay Formation,Palaeocene ,Hildasay Formation,51.8,Sandstone,Oil/Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,-4.15397138899993,60.8186425000001
543,205/26b- 14,Exploration,P1368,HURRICANE ENERGY PLC,7/12/2019 12:00:00 AM,161.5,Rotary Table,23.5,2136.65,1765.71,8/29/2019 12:00:00 AM,Plugged,Lewisian,Basement,Lewisian,Basement,14.73,Tonalite,Oil,42,11183,,76/64,1372,147000,0,73.28,40.6,3.6,,,,,,,,,,,,,,,,,,,,,,Y,-3.91624722199992,60.118987222
544,20/05b- 14,Appraisal,P2170,EQUINOR UK LIMITED,3/4/2019 12:00:00 AM,118.4,Rotary Table,38.6,3784,3736,4/1/2019 12:00:00 AM,AB3,Upper Jurassic,Burns Sandstone Mbr,Upper Jurassic,Burns Sandstone Mbr,0,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,-0.100572277999959,57.942347747
545,48/24b- 6,Appraisal,P2085,IOG NORTH SEA LIMITED,8/6/2019 12:00:00 AM,28.6,Rotary Table,39,2297,2251,9/6/2019 12:00:00 AM,AB3,Permian,Leman Sandstone,Permian,Leman Sandstone,146,Sandstone,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.64759250000003,53.1939686110001
546,13/23c- 10,Appraisal,P2358,I3 ENERGY NORTH SEA LIMITED,10/4/2019 12:00:00 AM,106.1,Mean Sea Level,31.1,2001.9,1628.9,10/23/2019 12:00:00 AM,AB3,Lower Cretaceous ,Captain Sandstone,Lower Cretaceous ,Captain Sandstone,24.4,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,-1.45872249999996,58.267675556
547,30/07a-S12,Appraisal,P32,CONOCOPHILLIPS (U.K.) LIMITED,8/26/2018 12:00:00 AM,83.82,Rotary Table,60.6552,4130.04,3313.4808,9/16/2018 12:00:00 AM,AB1,Triassic,Skagerrak Fm,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2.20783027800007,56.7250472220001
548,53/14a- 2,Exploration,P1965,ENI UK LIMITED ,10/14/2019 12:00:00 AM,43,Rotary Table,40,2970,2903,11/20/2019 12:00:00 AM,AB3,Silesian(U.Carbonifer.) ,Carboniferous Dinantian Carbonate,Namurian,Dinantian Carbonate,377,Limestone ,,,,,,,,,,,,Namurian,Carboniferous Namurian Millstone Grit,Namurian,Namurian Millstone Grit,233,Sandstone,,,,,,,,,,,,,,,,Y,2.78251638900002,52.6182008330001
549,11/24b- 4,Exploration,P2235,CORALLIAN ENERGY LIMITED,12/25/2018 12:00:00 AM,37.8,Rotary Table,39,1000,963.1,1/15/2019 12:00:00 AM,AB3,Middle Jurassic,Beatrice Formation,Middle Jurassic,Beatrice Sandstone,23.5,Sandstone,,,,,,,,,,,,Triassic,Lossiemouth Sandstone,Triassic,Lossiemouth Sandstone,nr,,,,,,,,,,,,,,,,,Y,-3.20545611099993,58.2873161110001
550,208/17a- 4,Appraisal,P1598,CNOOC PETROLEUM EUROPE LIMITED,7/19/2019 12:00:00 AM,725.4,Rotary Table,32.6,3700.3,3667.5,8/25/2019 12:00:00 AM,AB3,Paleocene,Top lower Vaila Sandstone,Paleocene,Lower Vaila Sandstone,70.7,Sandstone,Gas,46,,3.026,24/64,,16600,,60.8,12.2,,,,,,,,,,,,,,,,,,,,,,,Y,-1.75638583299997,61.4942100000001
551,204/05b- 2,Exploration,P1830,SICCAR POINT ENERGY E&P LIMITED,3/15/2019 12:00:00 AM,1115,Rotary Table,32.7,3230,3197.08,4/29/2019 12:00:00 AM,AB3,Eocene,"Colsay Mbr, Colsay Unit 1",Palaeocene ,"Colsay Mbr, Colsay Unit 1",35.7,Sandstone and siltstone,Oil,,,,,,,,,,,Palaeocene,"Colsay Mbr, Colsay Unit 3",Eocene,Hildasay Mbr,23.75,Sandstone,Gas,Palaeocene ,"Colsay Mbr, Lower Colsay Unit",Palaeocene ,"Colsay Mbr, Colsay Unit 3",n/a,Basalt,Oil,Eocene,Hildasay Mbr,Palaeocene,"Colsay Mbr, Lower Colsay Unit",94.5,Sandstone and siltstone,Gas,Y,-4.06949616099996,60.9438375780001
552,9/18a- 40,Exploration,P103,APACHE BERYL LIMITED,2/4/2018 12:00:00 AM,114,Rotary Table,23.16,4727.45,4096.51,3/26/2018 12:00:00 AM,Completed,Middle Jurassic,Beryl Formation,Middle Jurassic,Beryl Formation,106.38,Sandstone,Oil/Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.55702583300007,59.4909125
553,21/05c-F2,Appraisal,P2013,ZENNOR PATHWAY LIMITED,7/11/2018 12:00:00 AM,139.9032,Rotary Table,23.4696,4303.776,3631.3872,11/14/2018 12:00:00 AM,AB1,Lower Cretaceous,Britannia Sandstone,Lower Cretaceous,Britannia Sandstone,62.1792,Sandstone,Gas/Condensate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.894354444000044,57.9694961110001
554,208/02- 1,Exploration,P1854,SICCAR POINT ENERGY U.K. LIMITED,5/16/2019 12:00:00 AM,1451.5,Rotary Table,32.7,4038,4005.2,6/14/2019 12:00:00 AM,AB3,Eocene,Balder-Flett Fm,Eocene,Balder Fm,125,Siltstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,-1.76678138899996,61.884460833
555,12/30- 2,Exploration,P2277,TOTAL E&P NORTH SEA UK LIMITED,9/2/2020 12:00:00 AM,68.1,Rotary Table,47.4,1537,1489.6,9/16/2020 12:00:00 AM,AB3,Lower Cretaceous ,Punt Formation,Lower Cretaceous ,Punt Formation,50.3,Sandstone,Water,,,,,,,,,,,Upper Jurassic,Burns Formation,Upper Jurassic,Burns Formation,89.9,Sandstone,Water,Upper Jurassic,Ettrick Sandstone,Upper Jurassic,Ettrick Sandstone,178.5,Sandstone,Water,,,,,,,,Y,-2.08499722199997,58.115455556
556,22/19c- 7,Exploration,P1620,ENI UK LIMITED,12/30/2018 12:00:00 AM,95.7,Rotary Table,45,4641,4595.33,2/1/2019 12:00:00 AM,AB3,Triassic,Skagerrak Fm,Triassic,Skagerrak Fm,182.33,Sandstone,,,,,,,,,,,,Middle Jurassic,Pentland Fm,,,,,,,,,,,,,,,,,,,,Y,1.78196750000006,57.3540425
557,15/15- 2,Exploration,P2318,EQUINOR UK LIMITED,2/13/2019 12:00:00 AM,132.5,Kelly Bushing,38.6,2439,2400.1,2/24/2019 12:00:00 AM,AB3,Upper Jurassic,Piper Formation,Lower Cretaceous,Piper Formation,37,Sandstone,,,,,,,,,,,,,,Middle Jurassic,Fladen Group,73.6,Sandstone,,,,,,,,,,,,,,,,Y,0.850005556000042,58.651775
